PID,down,same,up,down_%,same_%,up_%
5690E95B-9747-B2B5-2EE1-16A72200D5CC,26,11,81,22.03,9.32,68.64
58CB3C5E-2F5C-31FE-83E8-C6772D99B8D5,62,15,41,52.54,12.71,34.75
5CD23052-9069-615B-22B2-CB8E9A2413C9,15,53,50,12.71,44.92,42.37
5E491E0A-C580-29BE-4329-ED7BFF843D0D,48,7,63,40.68,5.93,53.39
5F222604-CB86-1ABA-EB7B-31FF78B7BE93,1,17,100,0.85,14.41,84.75
62A1F053-1EA8-7433-090E-89D450314F41,61,6,51,51.69,5.08,43.22
647C581E-E72F-0765-F94A-065909B99374,3,23,92,2.54,19.49,77.97
64A0EC69-0CE2-8405-0FFC-D63A7F55E703,16,79,23,13.56,66.95,19.49
66E9719B-D383-AA87-7FAB-D9B4ABE7011C,60,0,58,50.85,0.0,49.15
68339CF4-6AFB-7EFB-40EA-238612F8E5A4,15,10,93,12.71,8.47,78.81
6B1E25A6-882B-DDD7-CE4F-4EC17A0906CF,44,24,50,37.29,20.34,42.37
6B690AF9-8440-1C43-B353-FA85266AA12C,7,53,57,5.98,45.3,48.72
6C9454F6-2AA4-4C25-0387-C6CA7AFC4C13,48,3,67,40.68,2.54,56.78
6E42D32E-048C-D829-197E-7950E78F58CB,22,78,18,18.64,66.1,15.25
70432028-81AF-D67A-251E-D2F807AB93CF,44,0,74,37.29,0.0,62.71
718078D1-70DB-2916-366D-1119A22DCD7F,49,36,33,41.53,30.51,27.97
72B642AD-2D4A-574F-05EC-EC93C0C52335,0,85,33,0.0,72.03,27.97
7417E7AB-C723-0958-F8EE-DDA4DED65165,64,6,48,54.24,5.08,40.68
761D024F-3C62-5326-601A-88D436C7726A,32,42,44,27.12,35.59,37.29
772BA0E9-AC30-CEA6-AA1B-18A0300702AA,18,65,34,15.38,55.56,29.06
77F6B31E-B228-3C6D-A66F-E7E6FDED3587,15,62,41,12.71,52.54,34.75
7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61,43,34,41,36.44,28.81,34.75
7DC9729F-BA27-3831-6078-F8508766396A,47,0,71,39.83,0.0,60.17
7FB7C50A-30EA-A991-0C04-7FFA681B8803,63,2,53,53.39,1.69,44.92
8407F9C4-C295-8C95-C281-584AF2118F84,16,0,94,14.55,0.0,85.45
85748DC9-A6DA-334D-6422-BF69EE06A98C,22,29,67,18.64,24.58,56.78
862DB2BA-55C9-5794-03BC-FBBA3BEE80C7,60,0,57,51.28,0.0,48.72
8690E8B6-9B41-5F0E-C518-8F2D028C6690,61,0,57,51.69,0.0,48.31
874A6B13-C999-C802-1138-FA198591D897,74,4,40,62.71,3.39,33.9
8DD09016-F898-915E-4A5C-727F57619D73,67,1,50,56.78,0.85,42.37
9268F759-54B0-96CC-C0F5-9D8DBAA12073,14,13,91,11.86,11.02,77.12
96B78431-4166-E4D3-2AA2-15BE2512E1D6,12,47,59,10.17,39.83,50.0
99827717-1B21-7ECC-CAD1-99489F7E19EA,22,38,58,18.64,32.2,49.15
99C0C5AE-01AD-1BB2-A36B-74B166CB26BA,21,14,83,17.8,11.86,70.34
9A80CFF4-085D-6435-BA08-18E6496A8381,49,0,69,41.53,0.0,58.47
9C694EBE-9421-F45A-ED92-F521991A6A52,59,12,47,50.0,10.17,39.83
9E6EBCE2-44FB-8F07-4135-E91140B34096,67,3,48,56.78,2.54,40.68
A135AF2A-692D-9C83-AB54-34F977E4D14D,29,1,88,24.58,0.85,74.58
A43E8D46-F136-DB41-3E16-F9F161DBA1D6,26,41,51,22.03,34.75,43.22
AB9921A8-F143-E101-6A47-E66882F571B2,35,27,55,29.91,23.08,47.01
B06410CC-D778-33B2-B1FD-A828EE4AF413,35,17,66,29.66,14.41,55.93
B17DF37B-207D-A052-4D45-F862B3BF4C4C,38,42,38,32.2,35.59,32.2
B2EE7EC5-4E5B-EBDD-E0EB-AF758B95C36A,31,43,44,26.27,36.44,37.29
B3CE5256-6F65-85EB-0078-689BD5CC1B17,48,1,69,40.68,0.85,58.47
B6EE5F90-8F59-D3CF-C449-59216B28207B,32,9,77,27.12,7.63,65.25
B9FD0C60-33D3-E99E-2475-815EAD5C89C2,54,19,45,45.76,16.1,38.14
BAAA2876-D490-2AB5-0A98-6EB94C7FC331,26,15,77,22.03,12.71,65.25
BC7EE230-0AF9-3AC5-24E5-8EC4B0B432A8,48,2,68,40.68,1.69,57.63
BD35F47E-4F73-8664-B165-98D2BF2CDA48,79,2,31,70.54,1.79,27.68
C0ABDBF6-67EF-EA64-A2D1-42FA92BD5713,15,17,86,12.71,14.41,72.88
C24A665A-6B67-FDEA-04A4-C2DA3AF79D51,36,64,18,30.51,54.24,15.25
C5DC661F-E2D6-2B65-4765-77C8B81D2488,34,0,83,29.06,0.0,70.94
C8BB6C15-19FA-A17A-5945-6202803016D7,16,55,47,13.56,46.61,39.83
CCA3ABC5-DCCE-0BBE-5327-E65AE52A195D,65,0,53,55.08,0.0,44.92
CD5833CD-93D3-318C-371A-18A32DEFC38B,69,6,42,58.97,5.13,35.9
D51A5648-0039-8CB1-45CB-C51E5ABA8BCC,42,3,66,37.84,2.7,59.46
D57F474B-B38C-E9AF-73CC-2CF16EED3827,23,65,30,19.49,55.08,25.42
D6D11A63-A131-4E74-041D-6E3BD8EFF8FF,63,0,55,53.39,0.0,46.61
D8D27F81-4F83-E10A-448A-735447867552,44,38,36,37.29,32.2,30.51
DA2856BC-D181-9AF0-DC9A-99A9444D5579,51,1,57,46.79,0.92,52.29
DBA0C8C4-AE05-772F-2E53-E6167F8ACB77,58,0,60,49.15,0.0,50.85
DC0BE0E2-B41E-3D73-47C5-5733952512CB,43,1,74,36.44,0.85,62.71
DCB45A10-FAF5-53E0-AB53-2D42AC9BB090,47,16,50,41.59,14.16,44.25
DD956DE9-DEFB-C0C6-82B4-C639A17D6782,57,1,60,48.31,0.85,50.85
DE775A65-68D5-C477-E2F7-BCC1AEF0B850,49,21,48,41.53,17.8,40.68
DF62EF03-DA30-E70A-CA31-03A029C9610A,35,24,59,29.66,20.34,50.0
E3489F9E-39E2-47B9-24EF-BAACE1438D00,57,36,25,48.31,30.51,21.19
E49C1269-8AB7-8C8F-FC88-AA92C2F1E260,54,3,61,45.76,2.54,51.69
E5CCE6B3-2C6E-BE96-602F-3852C8614777,58,4,56,49.15,3.39,47.46
E5F96AC5-AE7E-C4E8-8288-FB2674F43704,63,6,49,53.39,5.08,41.53
EA788550-E907-E4AC-EAE4-82CC26723E3B,13,0,104,11.11,0.0,88.89
EC6E2525-212C-1C3A-0B73-74D1B45748E1,18,17,83,15.25,14.41,70.34
EE62AFCD-B47D-E676-0257-21F92CB612D8,39,7,72,33.05,5.93,61.02
F1430977-52AF-4F46-BF92-0A8D736CBD2B,38,6,74,32.2,5.08,62.71
F752B62E-E95F-A65D-4CB2-8B0252E15F08,53,4,61,44.92,3.39,51.69
FB70D507-2F2A-0F83-3B53-75EB8452F5E0,45,34,39,38.14,28.81,33.05
FC50071B-D2BA-C98B-AC6E-7339010D56DA,7,8,103,5.93,6.78,87.29
FC66D29E-8CD8-AE29-A071-33549272C1EE,53,0,65,44.92,0.0,55.08
FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31,60,2,56,50.85,1.69,47.46
